,genres,keywords,tmdbId,poster_path,title,top_cast,cast_size,crew_size,director
0,"['Animation', 'Comedy', 'Family']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']",862,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Toy Story,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",13,106,John Lasseter
1,"['Adventure', 'Fantasy', 'Family']","['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']",8844,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,Jumanji,"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst', 'Bradley Pierce']",26,16,Joe Johnston
2,"['Romance', 'Comedy']","['fishing', 'best friend', 'duringcreditsstinger', 'old men']",15602,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,Grumpier Old Men,"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren']",7,4,Howard Deutch
3,"['Comedy', 'Drama', 'Romance']","['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']",31357,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,Waiting to Exhale,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon']",10,10,Forest Whitaker
4,['Comedy'],"['baby', 'midlife crisis', 'confidence', 'aging', 'daughter', 'mother daughter relationship', 'pregnancy', 'contraception', 'gynecologist']",11862,/e64sOI48hQXyru7naBFyssKFxVd.jpg,Father of the Bride Part II,"['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley']",12,7,Charles Shyer
5,"['Action', 'Crime', 'Drama', 'Thriller']","['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']",949,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Heat,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",65,71,Michael Mann
6,"['Comedy', 'Romance']","['paris', 'brother brother relationship', 'chauffeur', 'long island', 'fusion', 'millionaire']",11860,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,Sabrina,"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear', 'Angie Dickinson']",57,53,Sydney Pollack
7,"['Action', 'Adventure', 'Drama', 'Family']",[],45325,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,Tom and Huck,"['Jonathan Taylor Thomas', 'Brad Renfro', 'Rachael Leigh Cook', 'Michael McShane']",7,4,Peter Hewitt
8,"['Action', 'Adventure', 'Thriller']","['terrorist', 'hostage', 'explosive', 'vice president']",9091,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,Sudden Death,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood', 'Raymond J. Barry']",6,9,Peter Hyams
9,"['Adventure', 'Action', 'Thriller']","['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']",710,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,GoldenEye,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen']",20,46,Martin Campbell
10,"['Comedy', 'Drama', 'Romance']","['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']",9087,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,The American President,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen']",18,6,Rob Reiner
11,"['Comedy', 'Horror']","['dracula', 'spoof']",12110,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,Dracula: Dead and Loving It,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol']",11,9,Mel Brooks
12,"['Family', 'Animation', 'Adventure']","['wolf', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'frozen lake']",21032,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,Balto,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings']",13,14,Simon Wells
13,"['History', 'Drama']","['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']",10858,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,Nixon,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris']",34,8,Oliver Stone
14,"['Action', 'Adventure']","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']",1408,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Cutthroat Island,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin']",31,16,Renny Harlin
15,"['Drama', 'Crime']","['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']",524,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,Casino,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",45,10,Martin Scorsese
16,"['Drama', 'Romance']","['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']",4584,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Sense and Sensibility,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson']",17,8,Ang Lee
17,"['Crime', 'Comedy']","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']",5,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Four Rooms,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna']",24,88,Allison Anders
18,"['Crime', 'Comedy', 'Adventure']","['africa', 'indigenous', 'human animal relationship', 'bat']",9273,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,Ace Ventura: When Nature Calls,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi']",15,11,Steve Oedekerk
19,"['Action', 'Comedy', 'Crime']","['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']",11517,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,Money Train,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake']",15,44,Joseph Ruben
20,"['Comedy', 'Thriller', 'Crime']","['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']",8012,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Get Shorty,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito']",16,26,Barry Sonnenfeld
21,"['Drama', 'Thriller']","['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']",1710,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,Copycat,"['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara']",15,21,Jon Amiel
22,"['Action', 'Adventure', 'Crime', 'Thriller']","['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']",9691,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,Assassins,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov']",17,71,Richard Donner
23,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']","['dead animal', 'shot to death', 'teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'jacobs ladder', 'christ allegory', 'psionic power', 'healing power', 'looking pale', 'flickering light', 'extrasensory perception']",12665,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,Powder,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum']",5,9,Victor Salva
24,"['Drama', 'Romance']","['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']",451,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,Leaving Las Vegas,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis']",14,12,Mike Figgis
25,['Drama'],"['shakespeare', 'jealousy', 'friends', 'moor']",16420,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,Othello,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker']",9,3,Oliver Parker
26,"['Comedy', 'Drama', 'Family']","['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']",9263,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,Now and Then,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith']",16,8,Lesli Linka Glatter
