title,tmdbId,genres,keywords,poster_url,top_cast,director
Toy Story,862,"['Animation', 'Comedy', 'Family']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']",https://image.tmdb.org/t/p/w500//uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",John Lasseter
Jumanji,8844,"['Adventure', 'Fantasy', 'Family']","['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']",https://image.tmdb.org/t/p/w500//z46R8oShx61gXMrAmd7ptpVqNI0.jpg,"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst', 'Bradley Pierce']",Joe Johnston
Grumpier Old Men,15602,"['Romance', 'Comedy']","['fishing', 'best friend', 'duringcreditsstinger', 'old men']",https://image.tmdb.org/t/p/w500//1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren']",Howard Deutch
Waiting to Exhale,31357,"['Comedy', 'Drama', 'Romance']","['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']",https://image.tmdb.org/t/p/w500//4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon']",Forest Whitaker
Father of the Bride Part II,11862,['Comedy'],"['baby', 'midlife crisis', 'confidence', 'aging', 'daughter', 'mother daughter relationship', 'pregnancy', 'contraception', 'gynecologist']",https://image.tmdb.org/t/p/w500//rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,"['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley']",Charles Shyer
Heat,949,"['Action', 'Crime', 'Drama', 'Thriller']","['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']",https://image.tmdb.org/t/p/w500//obpPQskaVpSiC9RcJRB6iWDTCXS.jpg,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",Michael Mann
Sabrina,11860,"['Comedy', 'Romance']","['paris', 'brother brother relationship', 'chauffeur', 'long island', 'fusion', 'millionaire']",https://image.tmdb.org/t/p/w500//z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear', 'Angie Dickinson']",Sydney Pollack
Sudden Death,9091,"['Action', 'Adventure', 'Thriller']","['terrorist', 'hostage', 'explosive', 'vice president']",https://image.tmdb.org/t/p/w500//1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood', 'Raymond J. Barry']",Peter Hyams
GoldenEye,710,"['Adventure', 'Action', 'Thriller']","['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']",https://image.tmdb.org/t/p/w500//bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen']",Martin Campbell
The American President,9087,"['Comedy', 'Drama', 'Romance']","['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']",https://image.tmdb.org/t/p/w500//yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen']",Rob Reiner
Dracula: Dead and Loving It,12110,"['Comedy', 'Horror']","['dracula', 'spoof']",https://image.tmdb.org/t/p/w500//4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol']",Mel Brooks
Balto,21032,"['Family', 'Animation', 'Adventure']","['wolf', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'frozen lake']",https://image.tmdb.org/t/p/w500//dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings']",Simon Wells
Nixon,10858,"['History', 'Drama']","['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']",https://image.tmdb.org/t/p/w500//ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris']",Oliver Stone
Cutthroat Island,1408,"['Action', 'Adventure']","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']",https://image.tmdb.org/t/p/w500//hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin']",Renny Harlin
Casino,524,"['Drama', 'Crime']","['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']",https://image.tmdb.org/t/p/w500//znekQtDwXQrll2XYZqXOxncCgLd.jpg,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",Martin Scorsese
Sense and Sensibility,4584,"['Drama', 'Romance']","['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']",https://image.tmdb.org/t/p/w500//cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson']",Ang Lee
Four Rooms,5,"['Crime', 'Comedy']","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']",https://image.tmdb.org/t/p/w500//75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna']",Allison Anders
Ace Ventura: When Nature Calls,9273,"['Crime', 'Comedy', 'Adventure']","['africa', 'indigenous', 'human animal relationship', 'bat']",https://image.tmdb.org/t/p/w500//wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi']",Steve Oedekerk
Money Train,11517,"['Action', 'Comedy', 'Crime']","['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']",https://image.tmdb.org/t/p/w500//jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake']",Joseph Ruben
Get Shorty,8012,"['Comedy', 'Thriller', 'Crime']","['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']",https://image.tmdb.org/t/p/w500//r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito']",Barry Sonnenfeld
Copycat,1710,"['Drama', 'Thriller']","['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']",https://image.tmdb.org/t/p/w500//sch1NNy1q6O50qaUG0MqoU8z9GD.jpg,"['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara']",Jon Amiel
Assassins,9691,"['Action', 'Adventure', 'Crime', 'Thriller']","['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']",https://image.tmdb.org/t/p/w500//wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov']",Richard Donner
Powder,12665,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']","['dead animal', 'shot to death', 'teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'jacobs ladder', 'christ allegory', 'psionic power', 'healing power', 'looking pale', 'flickering light', 'extrasensory perception']",https://image.tmdb.org/t/p/w500//kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum']",Victor Salva
Leaving Las Vegas,451,"['Drama', 'Romance']","['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']",https://image.tmdb.org/t/p/w500//nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis']",Mike Figgis
Othello,16420,['Drama'],"['shakespeare', 'jealousy', 'friends', 'moor']",https://image.tmdb.org/t/p/w500//nNP3FDHUIyztw5eq5AejZKzqXbz.jpg,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker']",Oliver Parker
Now and Then,9263,"['Comedy', 'Drama', 'Family']","['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']",https://image.tmdb.org/t/p/w500//5nkAaadxFzzYfFyN3Q5j4VZKRsA.jpg,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith']",Lesli Linka Glatter
Persuasion,17015,"['Drama', 'Romance']","['captain', 'napoleonic wars', 'old flame', 'admiral']",https://image.tmdb.org/t/p/w500//tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Fiona Shaw']",Roger Michell
